1;2;0;7.0;7.0
1;3;0;5.0;8.0
1;1;0;4.0;6.0
2;1;1;5.0;5.0
2;2;1;2.0;4.0
2;3;1;7.0;7.0
3;4;0;5.0;8.0
3;6;0;4.0;6.0
3;8;0;5.0;5.0
4;4;0;2.0;4.0
4;5;0;7.0;7.0
4;7;0;5.0;8.0
5;4;1;4.0;6.0
5;5;1;5.0;5.0
5;8;1;2.0;4.0
6;10;0;7.0;7.0
6;9;0;5.0;8.0
7;4;0;5.0;5.0
7;5;0;2.0;4.0
7;7;0;7.0;7.0
8;1;0;5.0;8.0
8;2;0;4.0;6.0
9;2;1;2.0;4.0
9;3;1;7.0;7.0
9;7;0;5.0;8.0
10;8;0;4.0;6.0
10;9;0;5.0;5.0
10;10;0;2.0;4.0
11;9;1;7.0;7.0
11;10;1;5.0;8.0
12;5;0;5.0;5.0
12;7;0;2.0;4.0
12;8;0;7.0;7.0
13;4;1;5.0;8.0
13;6;1;4.0;6.0
13;7;1;5.0;5.0
14;1;0;2.0;4.0
14;2;0;7.0;7.0
14;3;0;5.0;8.0
15;2;1;4.0;6.0
15;3;1;5.0;5.0
16;2;1;7.0;7.0
16;3;1;5.0;8.0
16;1;1;4.0;6.0
17;5;1;5.0;5.0
17;6;1;2.0;4.0
17;7;1;7.0;7.0
18;9;0;5.0;8.0
18;10;0;4.0;6.0
19;7;1;2.0;4.0
19;8;1;7.0;7.0
19;6;1;5.0;8.0
20;2;0;4.0;6.0
20;3;0;5.0;5.0
20;1;0;2.0;4.0
