1;1;2022;completa;5000.0;5000.00
2;2;2022;parcial;3000.0;3000.00
3;3;2022;anulada;0.0;0.00
4;4;2022;completa;5000.0;5000.00
5;5;2022;completa;5000.0;5000.00
6;6;2022;parcial;3000.0;3000.00
7;7;2022;anulada;0.0;0.00
8;8;2022;completa;5000.0;5000.00
9;9;2022;completa;5000.0;5000.00
10;10;2022;parcial;3000.0;3000.00
11;11;2022;anulada;0.0;0.00
12;12;2022;completa;5000.0;5000.00
13;13;2022;parcial;3000.0;3000.00
14;14;2022;completa;5000.0;5000.00
15;15;2022;completa;5000.0;5000.00
16;16;2022;parcial;3000.0;3000.00
17;17;2022;anulada;0.0;0.00
18;18;2022;completa;5000.0;5000.00
19;19;2022;parcial;3500.0;3500.00
20;20;2022;anulada;0.0;0.00
